elevation_m,broad_age_group,population_count
-165,young_0_14,3028.4735224026
-164,old_age_65_plus,90.7486357645
-164,working_age_15_64,1326.7780925114
-164,young_0_14,618.2010576662
-163,old_age_65_plus,32.0936077052
-163,working_age_15_64,368.6537280565
-163,young_0_14,211.8061944842
-162,old_age_65_plus,31.2935754727
-162,working_age_15_64,402.8012056838
-162,young_0_14,233.6181428643
-161,old_age_65_plus,42.3429590117
-161,working_age_15_64,600.8889702844
-161,young_0_14,308.7381179449
-160,old_age_65_plus,635.8065016652
-160,working_age_15_64,3047.9670737980
-160,young_0_14,1954.3941766686
-159,old_age_65_plus,15.0302109108
-159,working_age_15_64,216.0625358028
-159,young_0_14,109.6271743998
-158,old_age_65_plus,159.1779889906
-158,working_age_15_64,2251.7005084064
-158,young_0_14,1183.1049253624
-157,old_age_65_plus,151.7809829596
-157,working_age_15_64,1870.5233610546
-157,young_0_14,988.8335412602
-156,old_age_65_plus,94.9200571300
-156,working_age_15_64,1401.2522206328
-156,young_0_14,650.0500646861
-155,old_age_65_plus,64.1309360780
-155,working_age_15_64,516.8764350414
-155,young_0_14,239.9684970006
-154,old_age_65_plus,201.3580725899
-154,working_age_15_64,2007.1741711199
-154,young_0_14,1031.2836369723
-153,old_age_65_plus,16.3816777646
